sitio,galpon,codigo,nombre,tipo,arrendatario_actual,superficie_1er_piso,superficie_2o_piso,superficie_m2
1,,1A,1A,bodega,BUPA,750.0,21.45,771.45
1,,1B,1B,bodega,SERV. GLOBALES,555.0,,555
1,,2A,2A,bodega,TODO IZAJE,507.5,32.79,540.29
1,,2B,2B,bodega,COMERCIAL K,507.5,10,517.5
1,,3A,3A,bodega,TREMAC,507.5,,507.5
1,,3B1,3B1,bodega,RODASTOCK,253.75,253.75,507.5
1,,3B2,3B2,bodega,ARQUETIPO LTDA.,253.75,253.75,507.5
1,,4A,4A,bodega,FLUITEK MARCO SPA,824.6700000000001,,824.6700000000001
1,,4B,4B,bodega,BODEGA 4B FLUITEK,772.59,85.36,857.95
1,,5,5,bodega,ARQUETIPO LTDA.,508.0,45.87,553.87
1,,LOCAL 1,LOCAL 1,local,AGUAS RIOS CRISTAL,379.0,23.93,402.93
1,,LOCAL 2 Y 3,LOCAL 2 Y 3,local,FRIGORIFICO TEMUCO,601,,601
1,,LOCAL 4,LOCAL 4,local,WURTH LTDA.,446.0,66.94,512.9399999999999
1,,LOCAL 5,LOCAL 5,local,CHESTERTON CHILE,302,,302
1,,LOCAL 6,LOCAL 6,local,PINTURAS TRICOLOR,297.5,,297.5
1,,LOCAL 7,LOCAL 7,local,IDIEM,504,,504
2,RECINTO 10,S6,S6,bodega,MAXAM,144,,144
2,RECINTO 10,S5,S5,bodega,IDIEM,210.0,,210
2,RECINTO 10,S4,S4,bodega,DIST. GRAF. MAS,184.0,,184
2,RECINTO 10,S3,S3,bodega,SINSEF,307,,307
2,RECINTO 10,S2,S2,bodega,MICROTEC,165,,165
2,RECINTO 10,S1,S1,bodega,IDIEM,285,,285
2,RECINTO 10,4,4,bodega,EL ARRIERO,447.0,,447
2,2,6,6,bodega,SGS,832.56,45,877.56
2,2,7,7,bodega,FERRETERIA INDUSTRIAL,1077.55,107,1184.55
2,2,8,8,bodega,SOUTHEMROCK,325,141,466
2,OFICINA 10,10,10,oficina,TECVAL,51,,51
2,1,LOCAL 1 Y 2,LOCAL 1 Y 2,local,TEKNICA,578,149,727
2,1,LOCAL 3,LOCAL 3,local,MAXAM,322,95,417
2,1,LOCAL 4,LOCAL 4,local,CASA ROSSIER,350,88,438
2,1,LOCAL 5,LOCAL 5,local,URIOSTE,242,95,337
